,tegs,headline,date
0,объявление выборы ,В ЗабГУ объявлены выборы декана факультета,22ДЕК 2022
1,анонс интересное абитуриенту ,Стартует серия прямых эфиров с представителями факультетов ЗабГУ,6ФЕВ 2023
2,спорт ,19 марта стартовал Межрегиональный турнир по баскетболу среди мужских и женских...,22МАР 2023
3,студенты ,Студентка ЗабГУ была избрана Членом молодежного парламента избирательной комиссии...,22МАР 2023
4,наука ,К 85-летию профессора Алексея Ивановича Трубачева: новый выпуск бесед о науке и...,21МАР 2023
5,РЦИО ,Студенческие организации ЗабГУ представили площадку на Крымской весне 2023,21МАР 2023
6,студенты ,Первокурсники юридического факультета ЗабГУ оказались в открытом судебном заседании...,21МАР 2023
7,студенты сотрудничество ,Открытие Всероссийских учебно-методических сборов специалистов-кинологов внутренних...,20МАР 2023
8,олимпиада анонс ,Студенческая олимпиада по физике,20МАР 2023
9,объявление ,Работодателям факультета строительства и экологии,20МАР 2023
10,объявление ,«ФЕНМиТ: ПроРазвитие»,20МАР 2023
11,сотрудничество анонс ,Научно-практическая конференция «Актуальные вопросы антимонопольного регулирования...,18МАР 2023
12,студенты образование ,Телемост со студентами из Монголии,18МАР 2023
13,,В Забайкалье осуждены участники экстремистской организации АУЕ,16МАР 2023
14,интересное ,"Встреча ""Опоры России"" с китайскими предпринимателями прошла в ЗабГУ",16МАР 2023
15,студенты ,Государственный экзамен проходит на базе Инновационного образовательного центра ЗабГУ,15МАР 2023
16,студенты сотрудничество ,Научно-методическая встреча по наставничеству,15МАР 2023
17,сотрудничество ,Цифровой образовательный ресурс «Тайны Титовской сопки» разработали и апробировали...,15МАР 2023
18,студенты ,Турниры по интеллектуальным играм прошли в ЗабГУ,14МАР 2023
19,образование ,Презентация исторического словаря антропонимии хори-бурят преподавателя ИФФ ,14МАР 2023
20,образование ,111 российских вузов расскажут о работе своих «цифровых кафедр»,13МАР 2023
21,конкурс интересное ,Конкурс Читинской таможни «Леди в погонах»,13МАР 2023
22,творчество ,Встреча с Олегом Петровым прошла в ЗабГУ,10МАР 2023
23,анонс ,Представителей ЗабГУ приглашают принять участие в ФИЭБ,10МАР 2023
24,студенты ,Студенческий волонтерский отряд «Капитал» выиграл грант Ассоциации развития...,9МАР 2023
25,студенты ,Магистрант ЗабГУ стал финалистом всероссийского конкурса,9МАР 2023
26,сотрудничество РЦИО ,Студенты ЗабГУ посетили День открытых дверей в Избирательной комиссии...,7МАР 2023
27,поздравляем ,"Концерт, посвященный празднованию 8 марта",7МАР 2023
28,студенты сотрудничество ,Дни карьеры – на «Ура»,6МАР 2023
29,сотрудничество ,Открыта регистрация на весенний хакатон,6МАР 2023
30,,Ушел из жизни Крылов Дмитрий Анатольевич,6МАР 2023
31,поздравляем ,"Поздравляем Ивана Флегонтовича Суворова - доктора технических наук, профессора...",4МАР 2023
32,сотрудничество ,На этой неделе в ЗабГУ прошло межрегиональное взаимодействие в сфере финансовой...,3МАР 2023
33,образование сотрудничество ,Новая кафедра востоковедения открывается в ЗабГУ!,3МАР 2023
